S.NO,MODEL,Trim,Year,Mileage Done,Color,Drive Train,Location (State),Price in USD
1,Bronco Sport ,Sport Big Bend AWD,2025,"2,775",Blue (Azure Gray Metallic Tri-Coat),All-Wheel Drive,"Frankfort, IL","$31,353 "
2,Bronco Sport ,Sport Big Bend AWD,2025,"2,958",Oxford White,All-Wheel Drive,"Lindon, UT","$28,795 "
3,Bronco Sport ,Sport Outer Banks AWD,2025,"2,971",Blue (Azure Gray Metallic Tri-Coat),All-Wheel Drive,"Alvin, TX","$34,801 "
4,Bronco Sport ,Sport Heritage AWD,2025,"4,883",Robins Egg Blue,All-Wheel Drive,"Center Point, IA","$32,000 "
5,Bronco Sport ,Sport Heritage AWD,2025,"4,931",Gray Metallic,All-Wheel Drive,"Wiscasset, ME","$35,495 "
6,Bronco Sport ,Sport Heritage AWD,2025,"4,969",Blue,All-Wheel Drive,"Wiscasset, ME","$33,995 "
7,Bronco Sport ,Sport Outer Banks AWD,2025,"9,291",Ruby Red Metallic,All-Wheel Drive,"Abilene, TX ","$34,500 "
8,Bronco Sport ,Sport Outer Banks AWD,2025,"9,539",Oxford White,All-Wheel Drive,"Sealy, TX","$34,075 "
9,Bronco Sport ,Sport Badlands AWD,2025,"9,996",Shadow Black,All-Wheel Drive,"Pittsburgh, PA","$37,987 "
10,Bronco Sport ,Sport Big Bend AWD,2025,"21,143",Shadow Black,All-Wheel Drive,"Layton, UT","$28,643 "
11,Bronco Sport ,Sport Outer Banks AWD,2025,"38,724",Blue Metallic,All-Wheel Drive,"Franklin, W","$34,993 "
12,Bronco Sport ,Sport Outer Banks AWD,2025,"38,892",Ruby Red Metallic,All-Wheel Drive,"Triadelphia, WV","$33,150 "
13,Bronco Sport ,Sport Big Bend AWD,2024,"9,985",Carbonized Gray Metallic,All-Wheel Drive,"Buckner, KY","$29,447 "
14,Bronco Sport ,Sport Big Bend AWD,2024,"9,994",Green Metallic,All-Wheel Drive,"Adrian, MI ","$29,990 "
15,Bronco Sport ,Sport Heritage AWD,2024,"10,000",Carbonized Gray Metallic,All-Wheel Drive,"Summerville, S","$29,734 "
16,Bronco Sport ,Sport Big Bend AWD,2024,"19,837",Green,All-Wheel Drive,"Loudon, TN","$28,900 "
17,Bronco Sport ,Sport Big Bend AWD,2024,"19,855",Carbonized Gray Metallic,All-Wheel Drive,"Grapevine, TX ","$25,490 "
18,Bronco Sport ,Sport Badlands AWD,2024,"19,938",Cactus Gray,All-Wheel Drive,"Leesburg, GA","$31,998 "
19,Bronco Sport , Sport Outer Banks AWD,2024,"28,922",Blue (Azure Gray Metallic),All-Wheel Drive,"Wahoo, NE","$29,900 "
20,Bronco Sport ,Sport Big Bend AWD,2024,"29,000",Hot Pepper Red Metallic Tinted Clearcoat,All-Wheel Drive,"Rosenberg, TX","$25,110 "
21,Bronco Sport ,Sport Big Bend AWD,2024,"29,981",Oxford White,All-Wheel Drive,"Calumet City, IL","$25,166 "
22,Bronco Sport ,Sport Big Bend AWD,2024,"54,164",Carbonized Gray Metallic,All-Wheel Drive,"Easton, PA","$24,586 "
23,Bronco Sport ,Sport Big Bend AWD,2024,"62,730",White,All-Wheel Drive,"Waynesboro, VA ","$24,840 "
24,Bronco Sport ,Sport Big Bend AWD,2024,"67,073",Cactus Gray,All-Wheel Drive,"Englewood, FL","$23,498 "
25,Bronco Sport ,Sport Outer Banks AWD,2023,"5,123",Oxford White,All-Wheel Drive,"Staten Island, NY","$29,888 "
26,Bronco Sport ,Sport Outer Banks AWD,2023,"7,960",Alto Blue Metallic Tinted Clearcoat,All-Wheel Drive,"Sturgis, SD","$28,488 "
27,Bronco Sport ,Sport AWD,2023,"9,499",Carbonized Gray Metallic,All-Wheel Drive,"Saco, ME","$25,562 "
28,Bronco Sport ,Sport Big Bend AWD,2023,"11,332",Eruption Green Metallic,All-Wheel Drive,"Staten Island, NY","$25,795 "
29,Bronco Sport ,Sport Badlands AWD,2023,"13,474",Shadow Black,All-Wheel Drive,"Morristown, NJ ","$30,288 "
30,Bronco Sport ,Sport Big Bend AWD,2023,"17,173",Cactus Gray,All-Wheel Drive,"Great Neck, NY ","$26,775 "
31,Bronco Sport ,Sport Big Bend AWD,2023,"21,713",CACTUS GRAY,All-Wheel Drive,"Butler, NJ ","$26,010 "
32,Bronco Sport ,Sport Big Bend AWD,2023,"25,003",Carbonized Gray Metallic,All-Wheel Drive,"Ambler, PA ","$24,794 "
33,Bronco Sport ,Sport Outer Banks AWD,2023,"27,575",Area 51,All-Wheel Drive,"Great Neck, NY","$28,295 "
34,Bronco Sport ,Sport Big Bend AWD,2023,"37,888",Carbonized Gray Metallic,All-Wheel Drive,"Swanzey, NH","$24,988 "
35,Bronco Sport ,Sport Heritage AWD,2023,"38,011",Alto Blue Metallic Tinted Clearcoat,All-Wheel Drive,"Nashua, NH","$25,199 "
36,Bronco Sport ,Sport Outer Banks AWD,2023,"53,000",Area 51,All-Wheel Drive,"Plymouth, NH","$25,447 "
37,Bronco Sport ,Sport Badlands 4WD,2022,"18,958",Carbonized Gray Metallic,All-Wheel Drive,"Exeter, NH","$29,688 "
38,Bronco Sport ,Sport Big Bend AWD,2022,"19,496",Shadow Black,All-Wheel Drive,"Sunnyvale, C","$25,491 "
39,Bronco Sport ,Sport Big Bend AWD,2022,"19,965",Cyber Orange Metallic Tri-Coat,All-Wheel Drive,"Windber, PA","$22,980 "
40,Bronco Sport ,Sport Big Bend AWD,2022,"27,970",Blue,All-Wheel Drive,"Westbrook, ME","$26,991 "
41,Bronco Sport ,Sport Big Bend AWD,2022,"28,937",Area 51,All-Wheel Drive,"Elgin, IL","$24,590 "
42,Bronco Sport ,Sport Big Bend AWD,2022,"29,974",Gray,All-Wheel Drive,"Wallace, NC","$27,977 "
43,Bronco Sport ,Sport Big Bend AWD,2022,"47,975",Area 51,All-Wheel Drive,"Abilene, TX ","$23,900 "
44,Bronco Sport ,Sport Outer Banks AWD,2022,"48,800",Silver,All-Wheel Drive,"Orange City, IA","$27,895 "
45,Bronco Sport ,Sport AWD,2022,"49,973",Oxford White,All-Wheel Drive,"Charleston, SC","$24,961 "
46,Bronco Sport ,Sport Badlands 4WD,2022,"99,738",Area 51,All-Wheel Drive,"Encinitas, CA","$23,788 "
47,Bronco Sport ,Sport Big Bend AWD,2022,"101,927",Shadow Black,All-Wheel Drive,"Arlington, TX","$17,995 "
48,Bronco Sport ,Sport Badlands 4WD,2022,"110,467",Area 51,All-Wheel Drive,"North Little Rock, AR","$23,907 "
49,Bronco Sport ,Sport Badlands 4WD,2021,"37,980",Kodiak Brown Metallic,All-Wheel Drive,"Troy, MO","$28,590 "
50,Bronco Sport ,Sport Big Bend AWD,2021,"38,841",Black,All-Wheel Drive,"Huntsville, AL","38,841"
51,Bronco Sport ,Sport Big Bend AWD,2021,"39,951",Blue,All-Wheel Drive,"Irvine, CA","$24,322 "
52,Bronco Sport ,Sport Big Bend AWD,2021,"77,867",Brown,All-Wheel Drive,"Riverhead, NY","$19,990 "
53,Bronco Sport ,Sport Big Bend AWD,2021,"78,852",Shadow Black,All-Wheel Drive,"Arlington, TX","$18,880 "
54,Bronco Sport ,Sport Outer Banks AWD,2021,"79,998",Cactus,All-Wheel Drive,"Gurnee, IL","$22,490 "
55,Bronco Sport ,Sport Outer Banks AWD,2021,"116,796",Silver,All-Wheel Drive,"Corpus Christi, TX","$17,000 "
56,Bronco Sport ,Sport AWD,2021,"118,938",Gray,All-Wheel Drive,"Hinesville, GA","$16,500 "
57,Bronco Sport ,Sport Big Bend AWD,2021,"119,864",White,All-Wheel Drive,"Wood-Ridge, NJ ","$15,499 "
58,Bronco Sport ,Sport Big Bend AWD,2021,"134,584",Kodiak Brown Metallic,All-Wheel Drive,"Summerville, SC ","$17,355 "
59,Bronco Sport ,Sport Badlands 4WD,2021,"139,955",Area 51,All-Wheel Drive,"Billings, MT","$19,995 "
60,Bronco Sport ,Sport Big Bend AWD,2021,"143,805",Iconic Silver Metallic.,All-Wheel Drive,"Billings, MT ","$19,995 "
