S.NO,MODEL,Trim,Year,Mileage Done,Color,Drive Train,Location (State),Price in USD
1,F-150,Tremor SuperCrew 4WD,2025,"4,982",Gray Metallic,Four-Wheel Drive,"Marshall, TX","$71,990"
2,F-150,XL Regular Cab 4WD,2025,"4,986",Silver,Four-Wheel Drive,"San Bernardino, CA","$55,999"
3,F-150,Lariat SuperCrew 4WD,2025,"5,000",Gray Metallic,Four-Wheel Drive,"Fontana, CA","$78,160"
4,F-150,remor SuperCrew 4WD,2025,"9,581",White,Four-Wheel Drive,"Portsmouth, NH","$61,995"
5,F-150,STX 4dr SuperCrew 4WD,2025,"9,679",Gray Metallic,Four-Wheel Drive,"Bessemer, AL","$47,856"
6,F-150,Lariat SuperCrew 4WD,2025,"9,985",Oxford White,Four-Wheel Drive,"Spokane Valley, WA","$55,904"
7,F-150,XLT SuperCrew 4WD,2025,"17,203",Agate Black Metallic,Four-Wheel Drive,"Bay Shore, NY","$49,673"
8,F-150,XLT SuperCrew 4WD,2025,"17,227",Oxford White,Four-Wheel Drive,"Millington, TN","$50,991"
9,F-150,Lariat SuperCrew 4WD,2025,"19,090",White Metallic,Four-Wheel Drive,"Sulphur, LA","$57,900"
10,F-150,XLT SuperCrew 4WD,2025,"22,021",White,Four-Wheel Drive,"Vidalia, GA","$48,900"
11,F-150,XLT SuperCrew 4WD,2025,"27,444",Silver,Four-Wheel Drive,"Tampa, FL","$47,999"
12,F-150,XLT SuperCrew 4WD,2025,"71,390",Red,Four-Wheel Drive,"Corpus Christi, TX","$58,278"
13,F-150,Platinum SuperCrew 4WD,2024,"19,867",Avalanche,Four-Wheel Drive,"Bartow, FL","$70,993"
14,F-150,XLT SuperCrew 4WD,2024,"19,921",Black,Four-Wheel Drive,"Columbus, OH","$42,490"
15,F-150,Lariat SuperCrew 4WD,2024,"19,998",Silver,Four-Wheel Drive,"Commerce, GA","$55,898"
16,F-150,XLT,2024,"39,671",Silver,Four-Wheel Drive,"E Boston, MA","$38,609"
17,F-150,Platinum,2024,"39,818",Agate Black Metallic,Four-Wheel Drive,"Jefferson City, MO","$60,500"
18,F-150,XLT,2024,"39,999",Avalanche,Four-Wheel Drive,"Denton, TX","$40,111"
19,F-150,XLT,2024,"57,374",Gray Metallic,Four-Wheel Drive,"Orangeburg, SC","$41,280"
20,F-150,Lariat,2024,"58,101",White,Four-Wheel Drive,"Englewood, CO","$46,297"
21,F-150,XLT,2024,"60,000",Avalanche,Four-Wheel Drive,"Morgan, UT","$39,500"
22,F-150,Lariat,2024,"81,669",Star White Metallic Tri-Coat,Four-Wheel Drive,"Lamesa, TX","$44,799"
23,F-150,Lariat,2024,"89,969",Star White Metallic Tri-Coat,Four-Wheel Drive,"West Branch, IA","$44,990"
24,F-150,Lariat,2024,"142,785",Carbonized Gray,Four-Wheel Drive,"Milledgeville, GA","$58,950"
25,F-150,XLT,2023,"29,996",Carbonized Gray Metallic,Four-Wheel Drive,"Winchester, MA","$45,911"
26,F-150,XLT,2023,"29,998",Carbonized Gray Metallic,Four-Wheel Drive,"Vero Beach, FL","$42,500"
27,F-150,XLT,2023,"30,000",Black,Four-Wheel Drive,"Colquitt, GA","$44,900"
28,F-150,XLT,2023,"59,813",Iconic Silver Metallic,4X2,"Hollywood, MD","$39,995"
29,F-150,XLT,2023,"59,889",Gray Metallic,Four-Wheel Drive,"Pounding Mill, VA","$38,846"
